PepperName,ScovilleHeatUnits(SHU)
Hawaiian Sweet Hot Pepper,2000
TAM Mild Jalapeno,1500
Almapaprika,1500
Prairie Fire Chilli,1500
Achar,1500
Dedo de Moca,1500
Georgia Flame Pepper,1500
Romanian Hot Pepper,1400
Aji Mirasol Pepper,1400
Peppadew Pepper,1200
Aji Panca Pepper,1000
New Mexico pepper,1000
Ametista,1000
Beaver Dam Pepper,1000
Bedgi,1000
Biquinho,1000
Mexi-Bell Pepper,1000
Brinco de Princesa,1000
Calistan,1000
Coronado Pepper,1000
Aj Dulce Pepper,1000
Cubanelle Pepper,1000
Escabeche,1000
Gana Redonda,1000
Joe E Parker Pepper,1000
Agua Blanca,1000
Banana Pepper,900
Holy Mole,700
El-Paso,700
Santa Fe Grande Pepper,700
Sonora Annaheim Pepper,600
Mariachi Pepper,600
Baldi,500
Guajilla de Zihutenejo,500
Cachucha,500
Babura Zelena,500
Pimiento Pepper,500
Avalon Button,500
Pimento,500
Pepperoncini,500
Keystone Giant,500
Karlo,500
Cambuci,500
Georgescu Chocolate,500
Frutka,500
Delicious Trinidad,500
Criollo,500
Cowhorn Chilli,500
Cow Horn Pepper,500
Corbaci,500
Catarina,500
Pasilla Bajio Pepper,250
Hot Navajo,150
Sweet Bell Pepper,100
False Alarm Pepper,100
Georgescu Chocolate Pepper,50
Tangerine,0
Orage Sun,0
Branco Diamante,0
Etham,0
Fushimi,0
Aconcagua,0
Aji Chuncho,0
Aladdin,0
Bell Pepper,0
Purple Beauty,0
Carliston,0
Carmagnola Rosso,0
Chinese Giant Pepper,0
Corno Verde,0
Corona,0
Cuneo Giallo,0
Diamond White,0
Dove,0
Early Sunsation,0
Red Marconi Pepper,0
Figaro,0
Filfil Darah,0
Quadrato DÕAsti,0
Giant Aconcagua Pepper,0
Gigante,0
Golden Treasure Pepper,0
Greygo,0
Gypsy Pepper,0
Siling Lara Pepper,0
Hershey,0
Islander,0
Jimmy Nardello,0
Jingle Bells,0
Jupiter,0
Kaala,0
Kandil,0
Marconi Purple,0
Miniature Chocolate Pepper,0
Miniature Yellow Pepper,0
Shishito Pepper,0
